"sites","bb_IDM","bb_SPE","bb_GRO","hv_IDM","hv_SPE","hv_GRO","sb_IDM","sb_SPE","sb_GRO","region"
"SH8170",1.75030585280289,1.67663970737807,2.44303976639398,3.16536047471721,3.20063540598291,4.26471440061186,3.13866690584617,3.2565587821572,4.14119400835514,"WAL"
"SH8207",1.75134056386348,1.7511871950748,2.44523353406306,3.18670458673472,3.3046768764623,4.259663537279,3.07409712858827,3.07475389169991,4.14232413774065,"WAL"
"SK0484",1.80064109869357,1.73852095223709,2.44313168950296,3.0370503998016,3.0873855483972,4.26427325491677,3.25211575840423,3.16284443717902,4.1366953120956,"ENG"
"SK1590",1.88849068701072,1.84908606901265,2.35096555019835,2.96970761069139,3.25791149642949,4.25883640973474,3.17609409306515,3.32194644648997,4.13542914895506,"ENG"
"SK2557",1.73613232428933,1.64960041286099,2.39255162792201,3.11865835960893,3.2466542155026,4.25153425917932,3.28014532109151,3.28229202180942,4.14401262534225,"ENG"
"SK4706",1.74274890879827,1.64261015634455,2.44407999414919,3.19373785597285,3.24873501580937,4.2631028984957,2.34578822369805,1.97015032492732,4.14359120468513,"ENG"
"SK5480",1.85402885645983,1.67358641966275,2.38630121750803,3.42340078244154,3.36064526726687,4.26309599695454,3.27663075631837,3.31597523233808,4.14336989864646,"ENG"
"SK9826",1.80270294625696,1.73566107143101,2.36970974556743,3.1337062644006,3.11155676454355,4.26944239614165,2.96287115715137,3.05028978524955,4.14503765305532,"ENG"
"SN0732",1.60036169606096,1.65293001303672,2.45503172874392,2.87170167062061,3.18596242544257,4.26329688359179,3.32607204780542,3.29872795246938,4.14491865740154,"WAL"
"SN6098",1.75848744596919,1.67090123280792,2.45042849461104,3.02779890654654,3.15244190951637,4.25605223199394,3.25748840283668,3.21071530490072,4.13752884954435,"WAL"
"SN6185",1.83703306703832,1.72369749954601,2.31513759729308,2.95180442116835,3.21198460856385,4.26141980075482,3.18253504460035,3.07876432836969,4.1418983502037,"WAL"
"SN6634",1.95078375935919,1.82283286462901,2.35844469223191,3.39998410656997,3.27890297509858,4.26795534929225,3.13730367380982,3.14396150999738,4.14175035396757,"WAL"
"SN6777",1.77205308874241,1.70736515444127,2.43300904579623,3.16295668120095,3.2904500849968,4.25213816700173,3.04902367310916,2.87443060008219,4.13732246709858,"WAL"
"SN7659",1.59011538937739,1.568040030279,2.40534455132894,3.21408741493177,3.40372283173575,4.25913116488253,3.20689099344582,3.27443681075964,4.13772673819446,"WAL"
"SO1474",1.84234349371438,1.81446216507295,2.42312394044982,3.26234322846739,3.38506568554724,4.2671632438009,3.10901175273452,3.17212994991055,4.14102324868411,"WAL"
"SO2568",1.67969168403902,1.56493164480633,2.38224213156384,3.17773688794026,3.30031879456683,4.26527413569154,3.38469957540282,3.38183874373678,4.14425769193671,"WAL"
"SO3129",1.72161447846358,1.67849229428679,2.36871494517524,3.2263522132999,3.1167606847882,4.26745371079244,3.2318995106849,3.18041710581104,4.13654005427816,"ENG"
"SO4718",1.80588898454067,1.73108239990828,2.43051509600875,3.22406505107785,3.22086057493189,4.2590648129273,3.37043976075436,3.3619815759183,4.13364183021017,"WAL"
"SO6087",1.73370505634425,1.73584609263692,2.19995595169959,3.49403279455531,3.42330547663396,4.25744595798178,3.22075757636319,3.24679575402926,4.14477323123154,"ENG"
"SO8911",1.8847219239411,1.684089272692,2.13963206895443,3.29529488391753,3.29879932028609,4.26811174070768,2.85309258427191,2.94820828872917,4.14716751492998,"ENG"
"SP1430",1.89121833662958,1.84455164128369,2.26817452281902,3.26709885504207,3.28149736587601,4.26024148643494,3.06464359807398,2.98902543502674,4.13999761632796,"ENG"
"SP4951",1.77716397251963,1.84106085400227,2.47832654732609,3.24455229621086,3.28879942406728,4.26416704752456,3.30418879570398,3.23283700367046,4.14350782861359,"ENG"
"SP6302",1.58551013637144,1.52782557548637,2.46379224585526,2.85293717034196,3.25795784219349,4.25425039159872,3.20451518478824,3.18112551583219,4.1416318115353,"ENG"
"SS8395",1.77088127986589,1.6977771956084,2.4332127872038,3.12514963495799,3.19694543995395,4.25880107557927,3.35360001163112,3.35122744060882,4.14058377741627,"WAL"
"ST2636",1.87711539543622,1.71555348394427,2.35569848527227,3.38617367788097,3.36522021064465,4.26739486279065,3.24094655399515,3.28564143221719,4.14183016640162,"ENG"
"ST2983",1.90784529412672,1.8902829020336,2.47472057723123,2.93196107377116,3.15527390452449,4.26491855856238,3.19860429026058,3.2474709644596,4.13798450506112,"WAL"
"ST4543",1.54849762231416,1.47703248010591,2.34917981589477,3.11535207106513,3.37572802494961,4.25921891976635,2.81578510072887,2.50690061646667,4.13026443740296,"ENG"
"ST9351",1.7338712263138,1.66826795937551,2.39640006436778,3.08943007287446,3.29557816937702,4.26031834054656,3.29639114175261,3.30837928018114,4.14351131335755,"ENG"
