"Parameter","Rhat","nRows"
"Cov[17, 7]",1.04845767332813,372
"Cov[17, 8]",1.04032676483829,372
"Cov[17, 9]",1.03256984291272,372
"Cov[17, 10]",1.01670298990775,372
"Cov[17, 11]",1.00935406463315,372
"Cov[17, 12]",1.01851821729202,372
"Cov[17, 13]",1.02000369649096,372
"Cov[17, 14]",1.02826346219244,372
"Cov[17, 15]",1.00566148082572,372
"Cov[17, 16]",1.18621117699156,372
"Cov[17, 17]",1.12947778411844,372
"muAlphaSites",2.5590981982227,372
"muAlphaSpecies",2.55636919082139,372
"muLatitude",1.00134024921901,372
"muSpecies",1.01602691160297,372
"rho",1.00003308057785,372
"shan[1]",1.00813788578442,372
"shan[2]",1.00761064177764,372
"shan[3]",1.02695898468629,372
"shan[4]",1.01114374744796,372
"shan[5]",1.01199970937163,372
"shan[6]",1.01403129235758,372
"shan[7]",1.01371508028844,372
"shan[8]",1.03830292815071,372
"shan[9]",1.00618688545941,372
"shan[10]",1.00969416660599,372
"shan[11]",1.0193796655067,372
"shan[12]",1.01550705508547,372
"shan[13]",1.01221372462204,372
"shan[14]",1.01270491757662,372
"shan[15]",1.01410118382964,372
"shan[16]",1.01238282317282,372
"shan[17]",1.01365261547351,372
"shan[18]",1.03088281035728,372
"shan[19]",1.01315016834699,372
"shan[20]",1.02054765576116,372
"shan[21]",1.00678317717303,372
"shan[22]",1.01707774423655,372
"shan[23]",1.03095751225936,372
"shan[24]",1.026909364815,372
"shan[25]",1.02616305917885,372
"shan[26]",1.00471319819655,372
"shan[27]",1.0072348303813,372
"shan[28]",1.02184981428118,372
"shan[29]",1.00189495828025,372
"shan[30]",1.0094803148361,372
"shan[31]",1.01348238615547,372
"shan[32]",1.01405603113104,372
"shan[33]",1.00811454343126,372
"shan[34]",1.02178367531618,372
"shan[35]",1.00942067121167,372
"shan[36]",1.01230503277636,372
"shan[37]",1.00632199901188,372
"shan[38]",1.01992805561099,372
"shan[39]",1.00700480449098,372
"shan[40]",1.00157963315369,372
"shan[41]",1.01004634829956,372
"shan[42]",1.02876962533102,372
"shan[43]",1.02313993838494,372
"shan[44]",1.01376843955438,372
"shan[45]",1.00135231232133,372
"shan[46]",1.00382508951263,372
"shan[47]",1.01020989879003,372
"shan[48]",1.00597741881797,372
"shan[49]",1.02686358257577,372
